〇 ㄌㄧㄥˊ
㐀 ㄑㄧㄡ
㐁 ㄊㄧㄢˋ
㐄 ㄎㄨㄚˋ
㐅 ㄨˇ
㐆 ㄧㄣˇ
㐌 ㄧˊ
㐖 ㄒㄧㄝˊ
㐜 ㄑㄧㄡˊ
㐡 ㄋㄨㄛˋ
㐤 ㄉㄢ
㐨 ㄒㄩˋ
㐩 ㄒㄧㄥˊ
㐪 ㄏㄞˋ
㐫 ㄒㄩㄥ
㐬 ㄅㄨˋ
㐭 ㄌㄧㄣˇ
㐮 ㄒㄧㄤ
㐯 ㄩㄥ
㐰 ㄕㄣ
㐱 ㄓㄣˇ
㐲 ㄉㄞˋ
㐳 ㄨˋ
㐴 ㄆㄢ
㐵 ㄖㄨˊ
㐶 ㄏㄨㄚ
㐷 ㄇㄚˋ
㐸 ㄑㄧㄢˋ
㐹 ㄑㄧˋ
㐺 ㄓㄨㄥˋ
㐻 ㄋㄟˋ
㐼 ㄕㄥ
㐽 ㄈㄥ
㐾 ㄩㄢˊ
㑀 ㄊㄞˋ
㑁 ㄓㄨㄛ
㑂 ㄈㄤˇ
㑃 ㄠˋ
㑄 ㄨˇ
㑅 ㄗㄨㄛˋ
㑇 ㄓㄡˋ
㑈 ㄉㄨㄥ
㑉 ㄙㄨˋ
㑊 ㄧˋ
㑋 ㄑㄩㄥˋ
㑌 ㄎㄨㄤ
㑍 ㄌㄟˋ
㑎 ㄋㄠˇ
㑏 ㄓㄨˋ
㑐 ㄕㄨˊ
㑑 ㄗㄢˊ
㑓 ㄐㄩㄣˋ
㑔 ㄒㄩˇ
㑗 ㄕㄣ
㑘 ˙ㄍㄚ
㑙 ㄉㄧㄝˊ
㑚 ㄋㄨㄛˊ
㑛 ㄙㄨˋ
㑜 ㄓㄜˋ
㑝 ㄌㄨㄥˋ
㑞 ㄧㄥˋ
㑟 ㄅㄥˇ
㑠 ㄕㄨˋ
㑢 ㄐㄩㄝˊ
㑣 ㄌㄢˊ
㑤 ㄇㄧㄠˊ
㑥 ㄕˋ
㑦 ㄌㄧˋ
㑧 ㄐㄧˋ
㑨 ㄏㄡˋ
㑩 ㄌㄨㄛˊ
㑪 ㄔㄞˊ
㑫 ㄑㄧˇ
㑭 ㄅㄧˇ
㑮 ㄏㄨㄣˊ
㑯 ㄒㄩˇ
㑰 ㄏㄨㄟˋ
㑱 ㄖㄠˇ
㑲 ㄅㄟˋ
㑳 ㄓㄡˋ
㑴 ㄑㄧㄣ
㑵 ㄐㄧˊ
㑶 ㄒㄧˋ
㑷 ㄊㄞˋ
㑸 ㄧㄠˊ
㑹 ㄏㄨㄟˇ
㑺 ㄐㄩㄣˋ
㑻 ㄇㄚˋ
㑼 ㄌㄩㄝˋ
㑽 ㄊㄤˊ
㑾 ㄧㄠˊ
㑿 ㄓㄠˋ
㒀 ㄓㄚˇ
㒁 ㄩˇ
㒂 ㄓㄨㄛˊ
㒃 ㄦˋ
㒄 ㄖㄢˇ
㒅 ㄑㄧˇ
㒆 ㄕㄜˋ
㒇 ㄨˇ
㒈 ㄒㄧㄢˋ
㒉 ㄔㄤˇ
㒊 ㄙㄜˋ
㒋 ㄙ
㒌 ㄑㄩㄥˊ
㒍 ㄌㄟˇ
㒎 ㄙㄚˋ
㒑 ㄏㄨㄟˋ
㒒 ㄆㄨˊ
㒓 ㄊㄚˋ
㒔 ㄉㄨˊ
㒕 ㄧㄤ
㒖 ㄡˇ
㒗 ㄊㄞˊ
㒙 ㄇㄧㄢˊ
㒚 ㄨㄣˇ
㒛 ㄉㄧㄠˇ
㒜 ㄩˇ
㒝 ㄇㄧㄝˋ
㒞 ㄐㄩㄣˋ
㒟 ㄋㄧㄠˇ
㒠 ㄒㄧㄝˋ
㒡 ㄧㄡˊ
㒤 ㄕㄜˋ
㒥 ㄈㄥ
㒦 ㄌㄟˇ
㒧 ㄌㄧˋ
㒨 ㄒㄧㄢ
㒩 ㄌㄨㄛˇ
㒪 ㄒㄧˊ
㒫 ㄐㄧˋ
㒬 ㄨㄤ
㒭 ㄎㄨㄣ
㒯 ㄧㄝˋ
㒰 ㄑㄩㄢˊ
㒲 ㄘㄞˊ
㒳 ㄩˇ
㒴 ㄍㄨˇ
㒵 ㄇㄠˋ
㒶 ㄍㄨㄥ
㒷 ㄒㄧㄥ
㒸 ㄙㄨㄟˋ
㒹 ㄉㄧㄢ
㒺 ㄨㄤˇ
㒻 ㄇㄥˊ
㒼 ㄇㄢˊ
㒽 ㄑㄩㄢ
㒾 ㄕˋ
㒿 ㄌㄧˊ
㓂 ㄎㄡˋ
㓃 ㄉㄨˋ
㓄 ㄔㄣˋ
㓅 ㄊㄧㄥ
㓇 ㄨˋ
㓈 ㄅㄧㄥˋ
㓉 ㄏㄨㄛˋ
㓊 ㄉㄨㄥˋ
㓋 ㄍㄨㄥˋ
㓌 ㄔㄥ
㓎 ㄑㄧㄣ
㓏 ㄐㄩㄥˇ
㓐 ㄌㄨˋ
㓑 ㄒㄧㄥˋ
㓓 ㄋㄢˊ
㓔 ㄒㄧㄝˋ
㓕 ㄇㄧㄝˋ
㓖 ㄅㄧˋ
㓗 ㄐㄧㄝˊ
㓘 ㄙㄨˋ
㓚 ㄍㄨㄥ
㓛 ㄍㄨㄥ
㓜 ㄧㄡˋ
㓝 ㄔㄨㄤ
㓞 ㄑㄧˋ
㓟 ㄆㄧˊ
㓠 ㄉㄧㄢˇ
㓡 ㄈㄡˇ
㓢 ㄌㄨㄛˋ
㓣 ㄍㄜ
㓤 ㄑㄧㄚˋ
㓥 ㄊㄤ
㓦 ㄅㄞ
㓧 ㄍㄢ
㓨 ㄘˋ
㓩 ㄒㄩㄢ
㓪 ㄌㄤˇ
㓬 ㄎㄨ
㓭 ㄕㄜˊ
㓮 ㄉㄧㄠ
㓯 ㄌㄧˊ
㓰 ㄏㄨㄚˋ
㓱 ㄕㄨ
㓲 ㄆㄧㄢ
㓳 ㄉㄧ
㓴 ㄖㄨㄢˇ
㓵 ㄜˋ
㓶 ㄑㄧㄝˋ
㓷 ㄧˋ
㓸 ㄉㄡ
㓹 ㄖㄨㄟˋ
㓺 ㄑㄧㄢˊ
㓻 ㄍㄤ
㓼 ㄔˋ
㓽 ㄔㄨㄥˋ
㓾 ㄑㄧˊ
㔀 ㄌㄧㄤˋ
㔁 ㄉㄥ
㔂 ㄌㄧㄣˊ
㔃 ㄐㄩㄝˊ
㔄 ㄙㄨˋ
㔅 ㄒㄧㄠˋ
㔆 ㄗㄢˋ
㔇 ㄆㄛ
㔉 ㄓㄨˊ
㔊 ㄉㄢˇ
㔋 ㄐㄧㄢ
㔌 ㄘㄡˇ
㔍 ㄔㄨㄚ
㔎 ㄒㄩㄝ
㔏 ㄌㄧˋ
㔐 ㄑㄧㄢ
㔑 ㄔˋ
㔒 ㄒㄧˊ
㔓 ㄐㄧㄢˇ
㔕 ㄐㄧˊ
㔗 ㄅㄟˋ
㔘 ㄔㄨˋ
㔙 ㄅㄥ
㔚 ㄎㄡˇ
㔜 ㄅㄛˊ
㔝 ㄌㄧㄤˇ
㔞 ㄎㄨㄞ
㔠 ㄏㄜˊ
㔡 ㄆㄧˋ
㔢 ㄐㄩㄝˊ
㔣 ㄌㄟˋ
㔤 ㄒㄧㄣˋ
㔥 ㄅㄞˋ
㔦 ㄧㄤˇ
㔧 ㄌㄩˋ
㔨 ㄅㄟˋ
㔩 ㄜˋ
㔪 ㄌㄨˇ
㔬 ㄓㄨㄛ
㔭 ˙ㄕ
㔮 ㄋㄨㄛˊ
㔯 ㄙㄨㄢˇ
㔰 ㄏㄥˊ
㔱 ㄩˇ
